mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Creature — Human Druid,{G},,"{2}{G}: Until end of turn, target noncreature artifact you control becomes a 4/4 artifact creature.",Alloy Animist,
,,Creature — Avatar,{4}{U}{U},,"Flying
Whenever All-Seeing Arbiter enters the battlefield or attacks, draw two cards, then discard a card.
Whenever you discard a card, target creature an opponent controls gets -X/-0 until your next turn, where X is the number of different mana values among cards in your graveyard.",All-Seeing Arbiter,
,Deadly Dancer,Creature — Vampire,{2}{R},Creature — Vampire,"When you attack with exactly two creatures, transform Alluring Suitor.",Alluring Suitor,"Trample
When this creature transforms into Deadly Dancer, add {R}{R}. Until end of turn, you don't lose this mana as steps and phases end.
{R}{R}: Deadly Dancer and another target creature each get +1/+0 until end of turn."
,,Enchantment,{3}{R}{R},,"Whenever you put one or more counters on a permanent or player, All Will Be One deals that much damage to target opponent, creature an opponent controls, or planeswalker an opponent controls.",All Will Be One,
,,Instant,{2}{R},,"Creatures you control get +2/+0 until end of turn. If you control a modified creature, draw a card. (Equipment, Auras you control, and counters are modifications.)",Ambitious Assault,
,Seasoned Cathar,Creature — Human Peasant,{1}{W},Creature — Human Knight,"When Ambitious Farmhand enters the battlefield, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
Coven — {1}{W}{W}: Transform Ambitious Farmhand. Activate only if you control three or more creatures with different powers.",Ambitious Farmhand,Lifelink
,,Artifact Creature — Phyrexian Construct,{2}{B},,"When Ambulatory Edifice enters the battlefield, you may pay 2 life. When you do, target creature gets -1/-1 until end of turn.",Ambulatory Edifice,
,,Creature — Human Soldier,{1}{W},,"Flash
Flying
{5}: Creatures you control get +1/+1 until end of turn.",Ambush Paratrooper,
,,Sorcery,{R},,"Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard.
Draw a card.",Ancestral Anger,
,,Artifact — Equipment,{1}{W},,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.
Equipped creature gets +2/+1.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Ancestral Katana,
,,Sorcery,{2}{U}{U},,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Search your library for an Equipment or Vehicle card, put that card onto the battlefield, then shuffle. If it has mana value less than the sacrificed permanent's mana value, scry 2.",Anchor to Reality,
,,Creature — Dinosaur,{5}{G}{G},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Trample, ward {2}
Ancient Imperiosaur enters the battlefield with two +1/+1 counters on it for each creature that convoked it.",Ancient Imperiosaur,
,,Creature — Treefolk,{2}{B}{G},,Each creature you control with toughness greater than its power assigns combat damage equal to its toughness rather than its power.,Ancient Lumberknot,
,,Sorcery,{1}{R}{W},,"Put two +1/+1 counters on target creature. It gains vigilance, trample, lifelink, indestructible, and haste until end of turn.
Flashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Angelfire Ignition,
,,Instant,{1}{W},,"Target creature or planeswalker you control gains protection from colorless or from the color of your choice until end of turn. If it's a creature, put a +1/+1 counter on it. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything with that quality.)",Angelic Intervention,
,,Creature — Angel Advisor,{5}{W},,"This spell costs {1} less to cast for each Citizen you control.
Flying",Angelic Observer,
,,Creature — Angel Soldier,{3}{W}{W},,"Flying
When Angelic Quartermaster enters the battlefield, put a +1/+1 counter on each of up to two other target creatures.",Angelic Quartermaster,
,,Creature — Nightmare Angel,{3}{B}{B},,"Flying
If damage would be dealt to you, prevent that damage and mill twice that many cards.",Angel of Suffering,
,,Sorcery,{2}{G},,"This spell costs {2} less to cast if it targets a legendary creature you control.
Target creature you control deals damage equal to twice its power to target creature or planeswalker you don't control.",Animist's Might,
,,Legendary Creature — Vampire,{2}{B}{R},,"Whenever Anje, Maid of Dishonor and/or one or more other Vampires enter the battlefield under your control, create a Blood token. This ability triggers only once each turn. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
{2}, Sacrifice another creature or a Blood token: Each opponent loses 2 life and you gain 2 life.","Anje, Maid of Dishonor",
,,Artifact Creature — Phyrexian Cleric,{2}{W},,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
When Annex Sentry enters the battlefield, exile target artifact or creature an opponent controls with mana value 3 or less until Annex Sentry leaves the battlefield.",Annex Sentry,
,,Sorcery,{B},,"As an additional cost to cast this spell, pay {4} or sacrifice an artifact or creature.
Destroy target creature or planeswalker.",Annihilating Glare,
,,Instant,{U},,"Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")",An Offer You Can't Refuse,
,,Creature — Human Cleric,{2}{W},,"Vigilance
As Anointed Peacekeeper enters the battlefield, look at an opponent's hand, then choose any card name.
Spells your opponents cast with the chosen name cost {2} more to cast.
Activated abilities of sources with the chosen name cost {2} more to activate unless they're mana abilities.",Anointed Peacekeeper,
,,Instant,{1}{B},,"Exile target creature if it has mana value 3 or less.
Corrupted — Exile that creature instead if its controller has three or more poison counters.",Anoint with Affliction,
,,Instant,{1}{R},,Target creature gets +4/+3 until end of turn.,Antagonize,
,,Legendary Creature — Dragon Spirit,{3}{W}{W},,"Flying, vigilance
When Ao, the Dawn Sky dies, choose one —
• Look at the top seven cards of your library. Put any number of nonland permanent cards with total mana value 4 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
• Put two +1/+1 counters on each permanent you control that's a creature or Vehicle.","Ao, the Dawn Sky",
,,Creature — Phyrexian Angel,{4}{W}{W},,"Flying
Corrupted — As long as an opponent has three or more poison counters, Apostle of Invasion has double strike.",Apostle of Invasion,
,,Creature — Human Archer,{2}{G},,"Reach
Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)",Apprentice Sharpshooter,
,,Instant,{G},,Target creature gets +2/+2 and gains reach until end of turn. Untap it.,Arachnoid Adaptation,
,,Creature — Human Artificer,{1}{R}{G},,"When Arbalest Engineers enters the battlefield, choose one —
• Arbalest Engineers deals 1 damage to any target.
• Put a +1/+1 counter on target creature. It gains trample and haste until end of turn.
• Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Arbalest Engineers,
,,Enchantment,{4}{R}{R},,"Whenever you cast your first instant or sorcery spell each turn, exile an instant or sorcery card at random from your graveyard. Then copy each card exiled with Arcane Bombardment. You may cast any number of the copies without paying their mana costs.",Arcane Bombardment,
,,Instant,{U}{R},,"Look at the top four cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Flashback {3}{U}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Arcane Infusion,
,,Artifact Creature — Wizard,{7},,"Prototype {1}{U}{U} — 2/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When Arcane Proxy enters the battlefield, if you cast it, exile target instant or sorcery card with mana value less than or equal to Arcane Proxy's power from your graveyard. Copy that card. You may cast the copy without paying its mana cost.",Arcane Proxy,
,,Legendary Planeswalker — Elspeth,{2}{W}{W},,"+1: Create a 1/1 white Soldier creature token with lifelink.
-2: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.
-6: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.",Archangel Elspeth,
,,Creature — Angel,{2}{W}{W},,"Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.)
Flying, lifelink
When Archangel of Wrath enters the battlefield, if it was kicked, it deals 2 damage to any target.
When Archangel of Wrath enters the battlefield, if it was kicked twice, it deals 2 damage to any target.",Archangel of Wrath,
,,Creature — Phyrexian Demon,{2}{B}{B},,"Flying
Archfiend of the Dross enters the battlefield with four oil counters on it.
At the beginning of your upkeep, remove an oil counter from Archfiend of the Dross. Then if it has no oil counters on it, you lose the game.
Whenever a creature an opponent controls dies, its controller loses 2 life.",Archfiend of the Dross,
,,Creature — Zombie Cleric,{2}{B},,"Whenever Archghoul of Thraben or another Zombie you control dies, look at the top card of your library. If it's a Zombie card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",Archghoul of Thraben,
,,Creature — Human Warlock,{3}{B}{B},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.)
Deathtouch
Whenever this creature deals combat damage to a player or battle, return target creature card from your graveyard to the battlefield.",Archpriest of Shadows,
,,Artifact — Equipment,{1},,"Equipped creature has ""{1}: This creature deals 1 damage to target creature that's blocking it.""
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Arc Spitter,
,,Creature — Human Shaman,{3}{R},,"When Ardent Elementalist enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",Ardent Elementalist,
,,Artifact Creature — Phyrexian Masticore,{5},,"First strike, protection from multicolored
At the beginning of your upkeep, sacrifice Argentum Masticore unless you discard a card. When you discard a card this way, destroy target nonland permanent an opponent controls with mana value less than or equal to the mana value of the discarded card.",Argentum Masticore,
,,Artifact Creature — Shapeshifter,{6},,"{1}: Until end of turn, Argivian Avenger gets -1/-1 and gains your choice of flying, vigilance, deathtouch, or haste.",Argivian Avenger,
,,Creature — Orc Knight,{2}{W},,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
When Argivian Cavalier enters the battlefield, create a 1/1 white Soldier creature token.",Argivian Cavalier,
,,Creature — Human Kor Soldier,{5}{W},,"This spell costs {1} less to cast for each creature you control.
Vigilance",Argivian Phalanx,
,,Creature — Human Scout,{2}{G},,"When Argothian Opportunist enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Argothian Opportunist,
,,Creature — Faerie,{1}{G},,"Argothian Sprite can't be blocked by artifact creatures.
{7}: Put two +1/+1 counters on Argothian Sprite.",Argothian Sprite,
,,Land,,,"Argoth, Sanctum of Nature enters the battlefield tapped unless you control a legendary green creature.
{T}: Add {G}.
{2}{G}{G}, {T}: Create a 2/2 green Bear creature token, then mill three cards. Activate only as a sorcery.
(Melds with Titania, Voice of Gaea.)","Argoth, Sanctum of Nature",
,"Arlinn, the Moon's Fury",Legendary Planeswalker — Arlinn,{2}{R}{G},Legendary Planeswalker — Arlinn,"Daybound (If a player casts no spells during their own turn, it becomes night next turn.)
+1: Until your next turn, you may cast creature spells as though they had flash, and each creature you control enters the battlefield with an additional +1/+1 counter on it.
-3: Create two 2/2 green Wolf creature tokens.","Arlinn, the Pack's Hope","Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)
+2: Add {R}{G}.
0: Until end of turn, Arlinn, the Moon's Fury becomes a 5/5 Werewolf creature with trample, indestructible, and haste."
,,Artifact Creature — Equipment Beast,{1}{U},,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Equipped creature gets +2/+1 and has ward {2}.
Reconfigure {4} ({4}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Armguard Familiar,
,,Creature — Phyrexian Beast,{1}{G},,"Armored Scrapgorger gets +3/+0 as long as it has three or more oil counters on it.
{T}: Add one mana of any color.
Whenever Armored Scrapgorger becomes tapped, exile target card from a graveyard and put an oil counter on Armored Scrapgorger.",Armored Scrapgorger,
,,Enchantment,{3}{R},,{3}{R}: You may put an artifact card from your hand onto the battlefield. That artifact gains haste. Sacrifice it at the beginning of the next end step.,Arms Race,
,,Sorcery,{1}{W}{W},,"Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn.",Arm the Cathars,
,,Legendary Creature — Human Berserker,{2}{R},,"Whenever a creature you control attacks or a creature enters the battlefield under your control attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature's mana value from your hand onto the battlefield tapped and attacking.",Arni Metalbrow,
,,Legendary Creature — Phyrexian Human,{W}{W}{B},,"Menace (This creature can't be blocked except by two or more creatures.)
{W}{B}, {T}, Sacrifice another creature: Put a +1/+1 counter on each creature you control.","Aron, Benalia's Ruin",
,,Creature — Vampire Noble,{2}{B},,"When Arrogant Outlaw enters the battlefield, if an opponent lost life this turn, each opponent loses 2 life and you gain 2 life.",Arrogant Outlaw,
,,Artifact Creature — Dragon,{6},,"Flying
{R}: Artifact creatures you control get +1/+0 until end of turn.
Unearth {3}{R}{R} ({3}{R}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Artificer's Dragon,
,,Instant,{1}{W},,"Domain — Artillery Blast deals X damage to target tapped creature, where X is 1 plus the number of basic land types among lands you control.",Artillery Blast,
,,Instant,{4}{U}{U},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose one or both —
• Counter target spell.
• Draw two cards, then discard a card.",Artistic Refusal,
,,Creature — Human Samurai,{3}{R}{W},,"Haste
Whenever a Samurai or Warrior you control attacks alone, it gets +1/+0 until end of turn for each Samurai or Warrior you control.",Asari Captain,
,,Creature — Wolf,{G},,"Ascendant Packleader enters the battlefield with a +1/+1 counter on it if you control a permanent with mana value 4 or greater.
Whenever you cast a spell with mana value 4 or greater, put a +1/+1 counter on Ascendant Packleader.",Ascendant Packleader,
,,Legendary Creature — Human Artificer,{B},,"Deathtouch
Whenever Ashnod, Flesh Mechanist attacks, you may sacrifice another creature. If you do, create a tapped Powerstone token.
{5}, Exile a creature card from your graveyard: Create a tapped 3/3 colorless Zombie artifact creature token.","Ashnod, Flesh Mechanist",
,,Artifact Creature — Construct,{2},,"Whenever Ashnod's Harvester attacks, exile target card from a graveyard.
Unearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Ashnod's Harvester,
,,Instant,{B},,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies or is put into exile from the battlefield, return it to its owner's hand.""",Ashnod's Intervention,
,,Instant,{U},,"Until end of turn, target creature gets +1/+3 and gains flying and toxic 1. (Players dealt combat damage by that creature also get a poison counter.)",Aspirant's Ascent,
,,Instant,{2}{B}{B},,"This spell costs {1} less to cast if you control an artifact and {1} less to cast if you control an enchantment.
Destroy target creature or planeswalker.",Assassin's Ink,
,,Instant,{1}{U},,"Counter target creature or battle spell unless its controller pays {4}. If they do, you incubate 2. (Create an Incubator token with two +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Assimilate Essence,
,,Legendary Creature — Human Warrior,{2}{R}{W},,"When Astor, Bearer of Blades enters the battlefield, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Equipment you control have equip {1}.
Vehicles you control have crew 1.","Astor, Bearer of Blades",
,,Enchantment — Aura,{4}{U},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Enchant creature
When Astral Wingspan enters the battlefield, draw a card.
Enchanted creature gets +2/+2 and has flying.",Astral Wingspan,
,,Creature — Phyrexian Wizard,{1}{U},,"Whenever you cast a noncreature spell, put an oil counter on Atmosphere Surgeon.
Remove an oil counter from Atmosphere Surgeon: Target creature gains flying until end of turn. Activate only as a sorcery.",Atmosphere Surgeon,
,,Legendary Creature — Phyrexian Angel,{3}{G}{W}{U}{B},,"Flying, vigilance, deathtouch, lifelink
When Atraxa, Grand Unifier enters the battlefield, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)","Atraxa, Grand Unifier",
,,Sorcery,{1}{G},,"Destroy target artifact, battle, enchantment, or creature with flying.",Atraxa's Fall,
,,Artifact Creature — Phyrexian Insect,{3},,"Atraxa's Skitterfang enters the battlefield with three oil counters on it.
At the beginning of combat on your turn, you may remove an oil counter from Atraxa's Skitterfang. When you do, target creature you control gains your choice of flying, vigilance, deathtouch, or lifelink until end of turn.",Atraxa's Skitterfang,
,,Legendary Creature — Dragon Spirit,{2}{R}{R},,"Flying, trample
When Atsushi, the Blazing Sky dies, choose one —
• Exile the top two cards of your library. Until the end of your next turn, you may play those cards.
• Create three Treasure tokens.","Atsushi, the Blazing Sky",
,,Creature — Elf Druid,{1}{G},,"Alliance — Whenever another creature enters the battlefield under your control, Attended Socialite gets +1/+1 until end of turn.",Attended Socialite,
,,Creature — Phyrexian Kor,{2}{W},,"Flying
Whenever Attentive Skywarden deals combat damage to a player or battle, transform up to one target Incubator token you control.",Attentive Skywarden,
,,Enchantment — Aura,{G},,"Enchant creature
Enchanted creature gets +2/+0 and has trample.
When Audacity is put into a graveyard from the battlefield, draw a card.",Audacity,
,,Creature — Human Druid,{1}{G}{G},,"You may look at the top card of your library any time.
You may play lands from the top of your library.
Coven — As long as you control three or more creatures with different powers, you may cast creature spells from the top of your library.",Augur of Autumn,
,,Artifact Creature — Artificer,{2},,{T}: Add {C}. Spend this mana only to activate an ability or cast an artifact spell.,Automated Artificer,
,,Artifact Creature — Construct,{3},,"When Automatic Librarian enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Automatic Librarian,
,,Artifact Creature — Assembly-Worker,{5},,"Prototype {1}{W} — 2/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Vigilance
{1}, {T}: Put a +1/+1 counter on target Assembly-Worker you control.",Autonomous Assembler,
,Hollowhenge Huntmaster,Creature — Human Werewolf,{4}{G}{G},Creature — Werewolf,"Hexproof
At the beginning of combat on your turn, put two +1/+1 counters on another target creature you control.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Avabruck Caretaker,"Hexproof
Other permanents you control have hexproof.
At the beginning of combat on your turn, put two +1/+1 counters on each creature you control.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Creature — Bird Assassin,{U}{B},,"Flying
As long as there are five or more mana values among cards in your graveyard, Aven Heartstabber gets +2/+2 and has deathtouch.
When Aven Heartstabber dies, mill two cards, then draw a card.",Aven Heartstabber,
,,Enchantment — Aura,{X}{U}{U},,"Enchant artifact or creature
When Awakened Awareness enters the battlefield, put X +1/+1 counters on enchanted permanent.
As long as enchanted permanent is a creature, it has base power and toughness 1/1.",Awakened Awareness,
,,Sorcery,{3}{R},,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If it's equipped, you may destroy all Equipment attached to that creature.",Awaken the Sleeper,
,,Sorcery,{X}{G}{G},,Create X 1/1 green Forest Dryad land creature tokens. (They're affected by summoning sickness.),Awaken the Woods,
,,Creature — Dwarf Artificer,{1}{R},,"Whenever one or more +1/+1 counters are put on Axgard Artisan for the first time each turn, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Axgard Artisan,
,,Creature — Phyrexian Wizard,{1}{R},,"Axiom Engraver enters the battlefield with two oil counters on it.
{T}, Remove an oil counter from Axiom Engraver, Discard a card: Draw a card.",Axiom Engraver,
,,Creature — Human Knight,{1}{B},,"Menace
Whenever Ayara's Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle.",Ayara's Oathsworn,
,"Ayara, Furnace Queen",Legendary Creature — Elf Noble,{1}{B}{B},Legendary Creature — Phyrexian Elf Noble,"{T}, Sacrifice another creature or artifact: Ayara, Widow of the Realm deals X damage to target opponent or battle and you gain X life, where X is the sacrificed permanent's mana value.
{5}{R/P}: Transform Ayara. Activate only as a sorcery. ({R/P} can be paid with either {R} or 2 life.)","Ayara, Widow of the Realm","At the beginning of combat on your turn, return up to one target artifact or creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step."
,Likeness of the Seeker,Enchantment — Saga,{1}{G},Enchantment Creature — Human Monk,"(As this Saga enters and after your draw step, add a lore counter.)
I — You may play an additional land this turn.
II — You gain 3 life.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Azusa's Many Journeys,"Whenever Likeness of the Seeker becomes blocked, untap up to three lands you control."
,,Creature — Cephalid Rogue,{1}{U},,"Defender
As long as there are two or more counters among creatures you control, Backstreet Bruiser can attack as though it didn't have defender.",Backstreet Bruiser,
,,Creature — Human Citizen,{1}{W},,"When Backup Agent enters the battlefield, put a +1/+1 counter on target creature.",Backup Agent,
,,Legendary Creature — Human Soldier,{R}{W},,"At the beginning of your end step, if you control a creature with power greater than its base power, create a 1/1 white Soldier creature token.","Baird, Argivian Recruiter",
,Hook-Haunt Drifter,Creature — Human Peasant,{1}{U},Creature — Spirit,Disturb {1}{U} (You may cast this card from your graveyard transformed for its disturb cost.),Baithook Angler,"Flying
If Hook-Haunt Drifter would be put into a graveyard from anywhere, exile it instead."
,,Creature — Phyrexian Berserker,{2}{B},,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Menace
When Balduvian Atrocity enters the battlefield, if it was kicked, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains haste. Sacrifice it at the beginning of the next end step.",Balduvian Atrocity,
,,Creature — Kor Berserker,{2}{R},,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
When Balduvian Berserker dies, it deals damage equal to its power to any target.",Balduvian Berserker,
,Ballista Wielder,Creature — Human Soldier Werewolf,{2}{R}{R},Creature — Werewolf,"{2}{R}, {T}: Ballista Watcher deals 1 damage to any target.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Ballista Watcher,"{2}{R}: Ballista Wielder deals 1 damage to any target. A creature dealt damage this way can't block this turn.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
