type_line0,name0,name1,oracle_text0,power1,oracle_text1,toughness0,power0,mana_cost0,type_line1,toughness1,mana_cost1
Enchantment,Banishing Light,,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield.",,,,,{2}{W},,,
Legendary Creature — Human Wizard,"Baral, Chief of Compliance",,"Instant and sorcery spells you cast cost {1} less to cast.
Whenever a spell or ability you control counters a spell, you may draw a card. If you do, discard a card.",,,3,1,{1}{U},,,
Sorcery,Baral's Expertise,,"Return up to three target artifacts and/or creatures to their owners' hands.
You may cast a spell with mana value 4 or less from your hand without paying its mana cost.",,,,,{3}{U}{U},,,
Artifact — Equipment,Batterskull,,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +4/+4 and has vigilance and lifelink.
{3}: Return Batterskull to its owner's hand.
Equip {5}",,,,,{5},,,
Creature — Elf Druid,Beast Whisperer,,"Whenever you cast a creature spell, draw a card.",,,3,2,{2}{G}{G},,,
Instant,Beast Within,,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.,,,,,{2}{G},,,
Creature — Devil Horror,Bedlam Reveler,,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Prowess
When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.",,,4,3,{6}{R}{R},,,
Creature — Human Knight,Benalish Marshal,,Other creatures you control get +1/+1.,,,3,3,{W}{W}{W},,,
Creature — Bird,Birds of Paradise,,"Flying
{T}: Add one mana of any color.",,,1,0,{G},,,
Tribal Enchantment — Faerie,Bitterblossom,,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.",,,,,{1}{B},,,
Land,Blackcleave Cliffs,,"Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {R}.",,,,,,,,
Creature — Phyrexian Human Artificer,Blade Splicer,,"When Blade Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.
Golems you control have first strike.",,,1,1,{2}{W},,,
Instant,Blessed Alliance,,"Escalate {2} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player gains 4 life.
• Untap up to two target creatures.
• Target opponent sacrifices an attacking creature.",,,,,{1}{W},,,
Instant,Blink of an Eye,,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)
Return target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",,,,,{1}{U},,,
Creature — Elf Berserker,Bloodbraid Elf,,"Haste
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",,,2,3,{2}{R}{G},,,
Land — Swamp Mountain,Blood Crypt,,"({T}: Add {B} or {R}.)
As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Creature — Vampire Spirit,Bloodghast,,"Bloodghast can't block.
Bloodghast has haste as long as an opponent has 10 or less life.
Landfall — Whenever a land enters the battlefield under your control, you may return Bloodghast from your graveyard to the battlefield.",,,1,2,{B}{B},,,
Land,Bloodstained Mire,,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.",,,,,,,,
Land,Blooming Marsh,,"Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {B} or {G}.",,,,,,,,
Artifact Creature — Construct,Bomat Courier,,"Haste
Whenever Bomat Courier attacks, exile the top card of your library face down. (You can't look at it.)
{R}, Discard your hand, Sacrifice Bomat Courier: Put all cards exiled with Bomat Courier into their owners' hands.",,,1,1,{1},,,
Sorcery,Bonfire of the Damned,,"Bonfire of the Damned deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Miracle {X}{R} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",,,,,{X}{X}{R},,,
Artifact,Boros Signet,,"{1}, {T}: Add {R}{W}.",,,,,{2},,,
Land,Botanical Sanctum,,"Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {U}.",,,,,,,,
Land — Forest Island,Breeding Pool,,"({T}: Add {G} or {U}.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Sorcery,Bribery,,Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.,,,,,{3}{U}{U},,,
Legendary Creature — Cat Soldier,"Brimaz, King of Oreskos",,"Vigilance
Whenever Brimaz, King of Oreskos attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking.
Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.",,,4,3,{1}{W}{W},,,
Instant,Burst Lightning,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Burst Lightning deals 2 damage to any target. If this spell was kicked, it deals 4 damage instead.",,,,,{R},,,
Instant,Careful Consideration,,"Target player draws four cards, then discards three cards. If you cast this spell during your main phase, instead that player draws four cards, then discards two cards.",,,,,{2}{U}{U},,,
Creature — Dinosaur,Carnage Tyrant,,"This spell can't be countered.
Trample, hexproof",,,6,7,{4}{G}{G},,,
Enchantment,Cast Out,,"Flash
When Cast Out enters the battlefield, exile target nonland permanent an opponent controls until Cast Out leaves the battlefield.
Cycling {W} ({W}, Discard this card: Draw a card.)",,,,,{3}{W},,,
Land,Celestial Colonnade,,"Celestial Colonnade enters the battlefield tapped.
{T}: Add {W} or {U}.
{3}{W}{U}: Until end of turn, Celestial Colonnade becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.",,,,,,,,
Instant,Censor,,"Counter target spell unless its controller pays {1}.
Cycling {U} ({U}, Discard this card: Draw a card.)",,,,,{1}{U},,,
Creature — Naga Wizard,Champion of Wits,,"When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.
Eternalize {5}{U}{U} ({5}{U}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Naga Wizard with no mana cost. Eternalize only as a sorcery.)",,,1,2,{2}{U},,,
Legendary Planeswalker — Chandra,"Chandra, Awakened Inferno",,"This spell can't be countered.
+2: Each opponent gets an emblem with ""At the beginning of your upkeep, this emblem deals 1 damage to you.""
-3: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature.
-X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead.",,,,,{4}{R}{R},,,
Legendary Planeswalker — Chandra,"Chandra, Torch of Defiance",,"+1: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.
+1: Add {R}{R}.
-3: Chandra, Torch of Defiance deals 4 damage to target creature.
-7: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to any target.""",,,,,{2}{R}{R},,,
Instant,Char,,Char deals 4 damage to any target and 2 damage to you.,,,,,{2}{R},,,
Instant,Chord of Calling,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.",,,,,{X}{G}{G}{G},,,
Artifact,Chromatic Lantern,,"Lands you control have ""{T}: Add one mana of any color.""
{T}: Add one mana of any color.",,,,,{3},,,
Land,City of Brass,,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",,,,,,,,
Land,Clifftop Retreat,,"Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.
{T}: Add {R} or {W}.",,,,,,,,
Creature — Giant Warrior Ranger,Cloudgoat Ranger,,"When Cloudgoat Ranger enters the battlefield, create three 1/1 white Kithkin Soldier creature tokens.
Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.",,,3,3,{3}{W}{W},,,
Artifact,Coalition Relic,,"{T}: Add one mana of any color.
{T}: Put a charge counter on Coalition Relic.
At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color for each charge counter removed this way.",,,,,{3},,,
Instant,Collected Company,,Look at the top six cards of your library. Put up to two creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in any order.,,,,,{3}{G},,,
Sorcery,Collective Brutality,,"Escalate—Discard a card. (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target opponent reveals their hand. You choose an instant or sorcery card from it. That player discards that card.
• Target creature gets -2/-2 until end of turn.
• Target opponent loses 2 life and you gain 2 life.",,,,,{1}{B},,,
Sorcery,Collective Defiance,,"Escalate {1} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player discards all the cards in their hand, then draws that many cards.
• Collective Defiance deals 4 damage to target creature.
• Collective Defiance deals 3 damage to target opponent or planeswalker.",,,,,{1}{R}{R},,,
Sorcery,Compulsive Research,,Target player draws three cards. Then that player discards two cards unless they discard a land card.,,,,,{2}{U},,,
Land,Concealed Courtyard,,"Concealed Courtyard enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {B}.",,,,,,,,
Enchantment,Conclave Tribunal,,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Conclave Tribunal enters the battlefield, exile target nonland permanent an opponent controls until Conclave Tribunal leaves the battlefield.",,,,,{3}{W},,,
Instant,Condemn,,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,,,,,{W},,,
Instant,Condescend,,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",,,,,{X}{U},,,
Creature — Sphinx,Consecrated Sphinx,,"Flying
Whenever an opponent draws a card, you may draw two cards.",,,6,4,{4}{U}{U},,,
Land,Copperline Gorge,,"Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {G}.",,,,,,,,
Enchantment Creature — Centaur,Courser of Kruphix,,"Play with the top card of your library revealed.
You may play lands from the top of your library.
Landfall — Whenever a land enters the battlefield under your control, you gain 1 life.",,,4,2,{1}{G}{G},,,
Creature — Beast,Craterhoof Behemoth,,"Haste
When Craterhoof Behemoth enters the battlefield, creatures you control gain trample and get +X/+X until end of turn, where X is the number of creatures you control.",,,5,5,{5}{G}{G}{G},,,
Sorcery,Crater's Claws,,"Crater's Claws deals X damage to any target.
Ferocious — Crater's Claws deals X plus 2 damage instead if you control a creature with power 4 or greater.",,,,,{X}{R},,,
Land,Creeping Tar Pit,,"Creeping Tar Pit enters the battlefield tapped.
{T}: Add {U} or {B}.
{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.",,,,,,,,
Sorcery,Crux of Fate,,"Choose one —
• Destroy all Dragon creatures.
• Destroy all non-Dragon creatures.",,,,,{3}{B}{B},,,
Creature — Zombie,Cryptbreaker,,"{1}{B}, {T}, Discard a card: Create a 2/2 black Zombie creature token.
Tap three untapped Zombies you control: You draw a card and you lose 1 life.",,,1,1,{B},,,
Instant,Cryptic Command,,"Choose two —
• Counter target spell.
• Return target permanent to its owner's hand.
• Tap all creatures your opponents control.
• Draw a card.",,,,,{1}{U}{U}{U},,,
Sorcery,Cultivate,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",,,,,{2}{G},,,
Instant,Cyclonic Rift,,"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",,,,,{1}{U},,,
Sorcery,Damnation,,Destroy all creatures. They can't be regenerated.,,,,,{2}{B}{B},,,
Creature — Human Wizard,Dark Confidant,,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.",,,1,2,{1}{B},,,
Land,Darkslick Shores,,"Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {U} or {B}.",,,,,,,,
Sorcery,Day of Judgment,,Destroy all creatures.,,,,,{2}{W}{W},,,
Sorcery,Deafening Clarion,,"Choose one or both —
• Deafening Clarion deals 3 damage to each creature.
• Creatures you control gain lifelink until end of turn.",,,,,{1}{R}{W},,,
Sorcery,Declaration in Stone,,Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.,,,,,{1}{W},,,
Creature — Human Wizard,Delver of Secrets,Insectile Aberration,"At the beginning of your upkeep, look at the top card of your library. You may reveal that card. If an instant or sorcery card is revealed this way, transform Delver of Secrets.",3,Flying,1,1,{U},Creature — Human Insect,2,
Legendary Creature — Elder Demon,Demonlord Belzenlok,,"Flying, trample
When Demonlord Belzenlok enters the battlefield, exile cards from the top of your library until you exile a nonland card, then put that card into your hand. If the card's mana value is 4 or greater, repeat this process. Demonlord Belzenlok deals 1 damage to you for each card put into your hand this way.",,,6,6,{4}{B}{B},,,
Creature — Human Warrior,Den Protector,,"Creatures with power less than Den Protector's power can't block it.
Megamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Den Protector is turned face up, return target card from your graveyard to your hand.",,,1,2,{1}{G},,,
Creature — Elf Druid,Devoted Druid,,"{T}: Add {G}.
Put a -1/-1 counter on Devoted Druid: Untap Devoted Druid.",,,2,0,{1}{G},,,
Artifact,Dimir Signet,,"{1}, {T}: Add {U}{B}.",,,,,{2},,,
Instant,Disallow,,"Counter target spell, activated ability, or triggered ability. (Mana abilities can't be targeted.)",,,,,{1}{U}{U},,,
Instant,Disenchant,,Destroy target artifact or enchantment.,,,,,{1}{W},,,
Instant,Disfigure,,Target creature gets -2/-2 until end of turn.,,,,,{B},,,
Instant,Dismember,,"({B/P} can be paid with either {B} or 2 life.)
Target creature gets -5/-5 until end of turn.",,,,,{1}{B/P}{B/P},,,
Creature — Human Wizard,Dismissive Pyromancer,,"{R}, {T}, Discard a card: Draw a card.
{2}{R}, {T}, Sacrifice Dismissive Pyromancer: It deals 4 damage to target creature.",,,2,2,{1}{R},,,
Instant,Dissolve,,Counter target spell. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),,,,,{1}{U}{U},,,
Legendary Planeswalker — Domri,"Domri, Anarch of Bolas",,"Creatures you control get +1/+0.
+1: Add {R} or {G}. Creature spells you cast this turn can't be countered.
-2: Target creature you control fights target creature you don't control.",,,,,{1}{R}{G},,,
Instant,Doom Blade,,Destroy target nonblack creature.,,,,,{1}{B},,,
Sorcery,Doomfall,,"Choose one —
• Target opponent exiles a creature they control.
• Target opponent reveals their hand. You choose a nonland card from it. Exile that card.",,,,,{2}{B},,,
Creature — Nightmare Demon,Doom Whisperer,,"Flying, trample
Pay 2 life: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",,,6,6,{3}{B}{B},,,
Legendary Creature — Elder Dragon,Dragonlord Atarka,,"Flying, trample
When Dragonlord Atarka enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control.",,,8,8,{5}{R}{G},,,
Legendary Creature — Elder Dragon,Dragonlord Ojutai,,"Flying
Dragonlord Ojutai has hexproof as long as it's untapped.
Whenever Dragonlord Ojutai deals combat damage to a player, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",,,4,5,{3}{W}{U},,,
Legendary Creature — Elder Dragon,Dragonlord Silumgar,,"Flying, deathtouch
When Dragonlord Silumgar enters the battlefield, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar.",,,5,3,{4}{U}{B},,,
Land,Dragonskull Summit,,"Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.
{T}: Add {B} or {R}.",,,,,,,,
Sorcery,Dreadbore,,Destroy target creature or planeswalker.,,,,,{B}{R},,,
Creature — Zombie Wizard,Dreadhorde Arcanist,,"Trample
Whenever Dreadhorde Arcanist attacks, you may cast target instant or sorcery card with mana value less than or equal to Dreadhorde Arcanist's power from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",,,3,1,{1}{R},,,
Land,Drowned Catacomb,,"Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.
{T}: Add {U} or {B}.",,,,,,,,
Creature — Spirit,Dungeon Geists,,"Flying
When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists.",,,3,3,{2}{U}{U},,,
Artifact Creature — Shapeshifter,Duplicant,,"Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature.
As long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter.",,,4,2,{6},,,
Sorcery,Duress,,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.",,,,,{B},,,
Creature — Human Warrior Werewolf,Duskwatch Recruiter,Krallenhorde Howler,"{2}{G}: Look at the top three cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
At the beginning of each upkeep, if no spells were cast last turn, transform Duskwatch Recruiter.",3,"Creature spells you cast cost {1} less to cast.
At the beginning of each upkeep, if a player cast two or more spells last turn, transform Krallenhorde Howler.",2,2,{1}{G},Creature — Werewolf,3,
Creature — Jackal Warrior,Earthshaker Khenra,,"Haste
When Earthshaker Khenra enters the battlefield, target creature with power less than or equal to Earthshaker Khenra's power can't block this turn.
Eternalize {4}{R}{R} ({4}{R}{R}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Jackal Warrior with no mana cost. Eternalize only as a sorcery.)",,,1,2,{1}{R},,,
Enchantment Creature — Spirit,Eidolon of the Great Revel,,"Whenever a player casts a spell with mana value 3 or less, Eidolon of the Great Revel deals 2 damage to that player.",,,2,2,{R}{R},,,
Instant,Electrolyze,,"Electrolyze deals 2 damage divided as you choose among one or two targets.
Draw a card.",,,,,{1}{U}{R},,,
Legendary Creature — Phyrexian Praetor,"Elesh Norn, Grand Cenobite",,"Vigilance
Other creatures you control get +2/+2.
Creatures your opponents control get -2/-2.",,,7,4,{5}{W}{W},,,
Legendary Planeswalker — Elspeth,"Elspeth, Knight-Errant",,"+1: Create a 1/1 white Soldier creature token.
+1: Target creature gets +3/+3 and gains flying until end of turn.
-8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""",,,,,{2}{W}{W},,,
Legendary Planeswalker — Elspeth,"Elspeth, Sun's Champion",,"+1: Create three 1/1 white Soldier creature tokens.
-3: Destroy all creatures with power 4 or greater.
-7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""",,,,,{4}{W}{W},,,
Creature — Elf Druid,Elves of Deep Shadow,,{T}: Add {B}. Elves of Deep Shadow deals 1 damage to you.,,,1,1,{G},,,
Creature — Elf Druid,Elvish Mystic,,{T}: Add {G}.,,,1,1,{G},,,
Artifact,Engineered Explosives,,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)
{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with mana value equal to the number of charge counters on Engineered Explosives.",,,,,{X},,,
Legendary Enchantment Creature — God,"Erebos, God of the Dead",,"Indestructible
As long as your devotion to black is less than five, Erebos isn't a creature. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
Your opponents can't gain life.
{1}{B}, Pay 2 life: Draw a card.",,,7,5,{3}{B},,,
Instant,Essence Scatter,,Counter target creature spell.,,,,,{1}{U},,,
Creature — Human Shaman,Eternal Witness,,"When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.",,,1,2,{1}{G}{G},,,
Artifact,Everflowing Chalice,,"Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.)
Everflowing Chalice enters the battlefield with a charge counter on it for each time it was kicked.
{T}: Add {C} for each charge counter on Everflowing Chalice.",,,,,{0},,,
Creature — Human Wizard,Exclusion Mage,,"When Exclusion Mage enters the battlefield, return target creature an opponent controls to its owner's hand.",,,2,2,{2}{U},,,
Instant,Expansion,Explosion,Copy target instant or sorcery spell with mana value 4 or less. You may choose new targets for the copy.,,Explosion deals X damage to any target. Target player draws X cards.,,,{U/R}{U/R},Instant,,{X}{U}{U}{R}{R}
Enchantment,Experimental Frenzy,,"You may look at the top card of your library any time.
You may play lands and cast spells from the top of your library.
You can't play lands or cast spells from your hand.
{3}{R}: Destroy Experimental Frenzy.",,,,,{3}{R},,,
Sorcery,Exquisite Firecraft,,"Exquisite Firecraft deals 4 damage to any target.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, this spell can't be countered.",,,,,{1}{R}{R},,,
Instant,Fact or Fiction,,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.,,,,,{3}{U},,,
Creature — Dwarf Soldier,Fairgrounds Warden,,"When Fairgrounds Warden enters the battlefield, exile target creature an opponent controls until Fairgrounds Warden leaves the battlefield.",,,3,1,{2}{W},,,
Sorcery,Faithless Looting,,"Draw two cards, then discard two cards.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,,{R},,,
Enchantment — Aura,Faith's Fetters,,"Enchant permanent
When Faith's Fetters enters the battlefield, you gain 4 life.
Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.",,,,,{3}{W},,,
Creature — Zombie Ninja,Fallen Shinobi,,"Ninjutsu {2}{U}{B} ({2}{U}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Fallen Shinobi deals combat damage to a player, that player exiles the top two cards of their library. Until end of turn, you may play those cards without paying their mana costs.",,,4,5,{3}{U}{B},,,
